BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;CEILING_1;CEILING_2;CEILING_1;BG;BG;BG;CEILING_1;CEILING_2;CEILING_1;CEILING_2;CEILING_1;CEILING_2;CEILING_1;CEILING_2;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;WALL_L;NONE;NONE;NONE;SLANT_T_R;CEILING_1;SLANT_T_L;NONE;NONE;NONE;NONE;NONE;NONE;NONE;WALL_R;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;WALL_L;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;FISH;NONE;WALL_R;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;WALL_L;NONE;NONE;NONE;NONE;NONE;NONE;SLANT_B_R;SLANT_B_L;NONE;NONE;NONE;NONE;NONE;WALL_R;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;WALL_L;NONE;NONE;NONE;NONE;NONE;NONE;SLANT_T_R;SLANT_T_L;NONE;NONE;NONE;NONE;NONE;WALL_R;BG;BG;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;WALL_L;NONE;ENTRY;NONE;NONE;SMOKER;NONE;NONE;NONE;NONE;JELLYFISH;NONE;NONE;NONE;SLANT_T_R;CEILING_1;CEILING_2;BG;BG;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;FLOOR_1;FLOOR_2;FLOOR_1;FLOOR_2;FLOOR_1;FLOOR_2;SLANT_B_L;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;SLANT_T_R;CEILING_2;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;WALL_L;TREASURE_150;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;NONE;WALL_R;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;FLOOR_1;FLOOR_2;SLANT_B_L;NONE;NONE;NONE;NONE;FISH;NONE;NONE;NONE;WALL_R;BG;BG;BG;BG;;;;;;;;;;;;;;;;
BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;BG;WALL_L;NONE;NONE;NONE;NONE;NONE;NONE;NONE;SLANT_B_R;BG;BG;BG;BG;BG;;;;;;;;;;;;;;;;
